allodatnjuiken	korkeushyppy
amas	outo
ammal	juo, kyllä kai
Anára Kyrö	Inarin Kyrö (paliskunta)
anáraš	inarinsaamelainen
anárašgiella	inarin(saamen)kieli
anus	käytössä
arvit	sataa vettä
áhkkilsámegiella	akkalansaame
áibbas	aivan
áigá dassái	aikoja sitten
áigáiboahtu	toimeentulo
áigelohku	ajanlasku
áigumuš	aikomus
Áilegas	Ailigas (tunturin nimi)
áimmuin	tallella
áinnas	ehdottomasti
álbmotkatastrofa	kansankatastrofi
álbmotskuvla	kansakoulu
álgodálvi	alkutalvi
állanit	kallistua
álot	aina
áltár	alttari
ámmát	ammatti
árbevirolaš	perinteinen
árvalit	arvella
árvalus	arvio
ásahus	asetus
ásahuvvojedje (pass.)	asutettiin
ássanguovlluineaset	asuinseuduillaan, -seuduiltaan
ássansadji	asuinpaikka
ássi	asukas
ávvudit	juhlia
ávvudit	viettää, juhlia
badjel rájáid	yli rajojen
badjel	yli
bajás	ylös
bajildus	päällinen, päällys
bassi	pyhä
Báhčaveadje	Paatsjoki
báikenamma	paikannimi
Báišduottar	Paistunturi (paliskunta)
bálggusortnet	paliskuntajärjestelmä
bállahastin	heitto (nakkaaminen)
bálvalanámmát	palveluammatti
báresahki	paras ikä
bárru	laine, aalto
bávkalit	paukauttaa
beaivvádat	auringonpaiste
beaivválaš	päivittäinen
beakkán	kuuluisa
beakkánamos	kuuluisin
Bealdovuopmi	Peltovuoma (paliskunta)
beallemuddu	puoliväli
beanta	suorastaan
beastit, beasttánpelastaa
beatnatgullan	peninkulma
bigálastit	pitää poroerotuksia
Bihtán	Piitime
bihtánsámegiella	piitimensaame
bivdi= bivdi	pyytäjä
bivdinmuddu	pyyntietäisyys
bivššas (adj.)	tyylikäs
boahtimuš	tuleminen, saapuminen
boaittobealli	syrjäseutu
boaldenmuorra	polttopuu
boaresáigásaš	vanhanaikainen
boazodoallu	poronhoito
boazorikkis	pororikas
bovdet	kutsua
buođđut	padota
buohkanassii	kokonaisuudessaan
buohkanassii	kaikkiaan
Buollánjotnjálbmi	Palojoensuu (paliskunta)
buorránaddat	hyväillä
buresivdnidit	siunata
ceggejuvvui	(pass.)	pystytettiin
čađa áiggiid	kautta (läpi, halki) aikojen
čatnat	sitoa
čáhceruvven	vesihieronta
čálalaš	kirjallinen
cára	tsaari
Čeavetjávri	Sevettijätvi
českes (adj.attr.)	kirkas (tässä: k. valkoinen)
čierastallat	lasketella
čoahkkái	kokoon
čoahkkebáiki	taajama
čohkiidit	kokoontua
čora	parttio, pieni lauma
čotta	kurkku
čujuhit	osoittaa
čuohcat	kohdistua, ottaa voimille
čuovvovaš	seuraava
čuožžilit	nousta seisomaan
darjjisámegiella	turjansaame
davviriika	pohjoismaa
davvisámegiella	pohjoissaame
davvisápmi	pohjoissaamelainen
dáidi	taitaja
dálge	nytkin
dálolaš	talollinen
dálvesoahti	talvisota
dán jagi	tänä vuonna
dánáigge	nykyään, nykyaikana
dáppeorru	täälläasuja
Dáža bealli	Norjan puoli
Dáža	Norja
deaivvadit	tavata
Deanu aldi	Tenolla
Deatnu	Teno
dieđus	tiedossa
dieinna lágiin	sillä tavalla
dies	siitä
dievva	täynnä
divat	maksu, kymmenys
doaba	käsite
doaivut	itäm: toivoa, länsim: luulla
doamihit	kiirehtiä
doardna	torni
doarrás	poikittain
doarvái	tarpeeksi
doaškut	taputtaa(käsiään)
dohko	sinne
dolgevuogga	perho
dolgi	sulka
dolin	ennenvanhaan
dolkat	kyllästyä
dološ	muinainen (vanha)
doppe	siellä, sieltä
duđavaš	tyytyväinen
duođaštus	todistus
duođe eambbo	sen enempää
duohkái	taakse
duorgu	siima
duottarčielgi	tunturinselkä
duskidit	tuskailla
duššaduvvui	(pass.)	tuhottiin
ealáhus	elinkeino (elanto)
ealáskahttindihtii	elvyttämiseksi
ealáskahttit	elvyttää
eamit	emäntä, aviovaimo
eanáš	enimmäkseen
easkka	vasta
easkka	vasta
ee. =earet eará	mm. =muunmuassa
eváhko	evakko
evttohit	ehdottaa
fáhkkestaga	yhtäkkiä
fámolaš	voimakas
finakeahttá	käymättä
fiskkodit	kellastua
friddja	vapaa (:sti)
fuolki	sukulainen
gaikkehit	nykäistä
Gálddoaivi	Kaldoaivi (paliskunta)
galljut	pyöristyä
gálvu	tavara, kalu, esine
ganjal	kyynel
gárvu	vaate, asu, pukimet
gáržudit	rajoittaa, supistaa, kaventaa
gaskaáigi, -áiggikeskiaika
gaskaáigi	keskiaika
Gaskabađaeana	Keskipohjanmaa
gaskamuddu	puoliväli
gasku	keskellä
gásttašit	kastaa
gávpejas	kauppias
gávppašit	tehdä kauppaa
geahččamin	katsomassa
geahčči	katsoja
geahppadit	kevyesti
gearret	käräjä
Geavvu	Kevo (paikannimi)
geažil	vuoksi
geažil	vuoksi
gessojuvvui	(pass.)	vedettiin
gieddešládja	kenttälaji
giehtagávva	käsikynkkä
gielddasámegiella	kildininsaame
giellabeassi	kielipesä
giellarádjá	kieliraja
gilvu	kilpailu
gilvvohallan	kilpailu
girjjáš	kirjanen
girkobáiki	kirkkopaikka
girkosiida	kirkonkylä
givssidit	kiusata
goargŋut	nousta
goaridit	kurjistaa, haitata
goaseai	(mon.3. pers.)	lähes
goasii	(mon.1. pers.)	tässä: lähes
goddi	peura
goddin	tappaminen, tässä:saaminen
gohcci	valvoja
goitge	kuitenkin
 golgadeaddji	kulkuttaja
 golgadit	kulkuttaa (ajoverkkokalastus)
gollečeahppi	kultaseppä
gopmánit	kaatua(kumoon)
gosge	mistään
govttolaš	kohtalainen, kohtuullinen
gráđđa	aste
guhkkin eret	kaukana siitä
guhkkodatnjuiken	pituushyppy
guhte	kuka (joka)
guktii	kahdesti
gulahallat	tässä: ymmärtää
guldaleamen	kuuntelemassa
guobir	kopara
guođohit	paimentaa
Guoládat	Kuola
 guolásteaddji	kalastaja
guolehisvuohta	kalattomuus
guovlu	seutu, alue
gurut	vasen
háhkat	hankkia
hálddahus	hallinto
háŋket	hankkia
hávdádit	haudata
hávdi	hauta
hávil	kerrallaan
headja	hää(t)
heagga	henki
heahpat	häpeä
heahtáduddat	hätäillä
heajastalli=	häävieras
heargevuodju	poroajo
hiljánis	hiljainen
historjjálaš	historiallinen
hohkahit	houkutella
huikinjoavku	huutosakki
huksejuvvui	(pass.)	rakennettiin
iešalddes	itseasiassa
iešguđet	itsekukin
iešgudet	itsekukin
iežá=eará	muu(t)
iežas čierastan	itsensä laskeneen
iežas	itsensä, itseään
iežaset	oma (mon. 3. pers.)
ihtit	ilmestyä, tulla
illá	tuskin
imaš	ihme
irgi	ylkä, sulhanen
isit	isäntä, aviomies
jalga	tässä: suoraan
jalla	hullu
jápmin	kuolema
jápmit	kuolla
jápmu	kuolema
jávkat	kadota, hävitä
jeđđet	lohduttaa
jitnosit	ääneen
joatkkasoahti	jatkosota
jođašit	kulkea (kuljeskella), liikkua
julevusámegiella	luulajansaame
juohke báikkis	joka paikassa
juohkelágan	kaikenlaiset
jur	juuri
jurddašehket	ajatelkaa (mon.)
jurddašuvvon	(pass.)	ajateltu
karantena	karanteeni
keaisárlaš	keisarillinen
kloasttar	luostari
klubba	klubi
kollektiviseren	kollektivisointi
kruvdnu	kruunu
kvena	kveeni, Ruijansuomalainen
láhttet	käyttäytyä
láigohit	vuokrata
Lappi bálggus	Lapin paliskunta
lávggohat	kylpylä
lávket	astua (askel)
leaikkastallat	laskea leikkiä
leavga	lippu
leavvat	levitä
leu’udd	(koltankiel.)	leudd (nimitys kolttien laulusta)
lihkku lehkos	onneksi olkoon
livččo=livččii	olisi (vat)
loahpalaččat	lopullisesti
lodjuduvvon (pass.)	kesytetty
logádat	kymmenys
logakeahttá	lukematta
lohpádallat	kihlautua
lohpi	lupa
lonuhit	vaihtaa
lullisámegiella	eteläsaame
luohttámušalmmái	luottamusmies
luohttit	luottaa
luoitit	laskea
luonddumeahcci	luonnonpuisto
luossa	lohi
mádjitája	majavapuro
máhccat	palata
mahkáš	mukamas
maiddái	myös(kin)
máinnašuvvon	(pass.)	mainittu
málesheajat	ruokahäät
manahit	menettää
mánáidruoktu	lastenkoti
maŋŋá	jälkeen
maŋŋonit	myöhästyä
 Márjjábeaivi	Marianpäivä
meahcásteapmi	metsästäminen
mearkabiire	merkkipiiri
mearragáddi	merenranta
mearriduvvui	määrättiin (myös:päätettiin)
merket	merkitä
miehtá	pitkin
mielli	mäki
mielvázzit	”seuralaiset, saattajat” erit. vihkiparin perässä
moadde	muutama
moanat	useat
moraš	murhe, suru
Muddosjávri	Muddusjärvi (paliskunta)
muitái	alkoi muistaa, muisti
muŋka	munkki
musea	museo
náitaladdet	solmivat avioliittoja
náitalit	mennä naimisiin
náitit	naittaa
náittosdilli	avioliitto
nappo	siis
návdi	peto
návetvázzi	karjakko
Neahkkil	Näkkälä (paliskunta)
Nellim	Nellimö
ng.=nu gohčoduvvon	ns.= niin sanottu
nieidavuohta	neitsyys
nieiddažiid	tyttösiä
nierra	poskipää
njálmmálaš	suullinen
njávkkadit	silittää
Njeavdán	Näätämö
njoammudávda	tarttuva tauti
njolodit	nuoleskella, tässä:hyväillä
njuolggadus	sääntö, säädos
nohkagoahtán	alkanut loppua
nohkkot	joutua (jäädä) kokonaan ilman jtkin (esim. porot loppuneet)
nuorra	nuori
nuorrabárra	nuoripari
nuortalaččat	koltat
nuortalaš	koltansaamelainen
nuortalašgiella	koltan(saamen)kieli
nuppe jagi	seuraavana (toisena) vuonna
Nuvvos	Nuvvus (paikannimi)
oaggut	onkia
oahpis	tuttu
oakkastit	alkaa onkia
oalgejohka	sivujoki
oapmahaččaideaset	omaisiaan
oapmahaš	omainen
oarbbis	orpo
oassálastit	osallistua
oasseváldit	osanottajia
obbadálki	pilvinen sää
ođđaássi	uudisasukas
ođđasit	uudestaan
ohca	povi
ohcalit	etsiä
Ohcejotnjálbmi	Utsjokisuu
oktašas	yhteinen
oktavuohta	yhteys
oktiibuot	yhteensä, kaikenkaikkiaan
olbmo láhkái	kunnolla, ihmisiksi
olgeš	oikea
oppalaš govva	kokonaiskuva
ordnejuvvojit	(pass.)	järjestetään
ordnet	järjestää
orgel	urku
orrume=orrumin	asumassa
ossodat	osuus
ovdal	ennen, aikaisemmin
ovddežiid ektui	entisiin verrattuna
ovdu	etu, etuus
Ovnnesjávri	Ounasjärvi
ovttaláhkai	eräällä tavalla
ovttaskas	yksittäinen
Paadar	Paadar (paliskunta, myös sukunimi)
plánet	suunnitella
priváhta	yksityinen
rabas	auki
rádjagidden	rajasulku
ráfui	rauhoittui
rahčat	raataa
ráhkaduvvui	rakennettiin
ráhkesvuohta	rakkaus
ráhkis	rakas
ráhkkanit	valmistautua
ráidoheargi	raitohärkä
rámohallat	kehuskella
rávdnji	virta
ravgat	kaatua
revolušuvdna	vallankumous
riegádanbeaivi	syntymäpäivä
rihppa	rippi
risváhnen	kummivanhin
roahttu	rutto
rohkadallat	rukoilla
Ruošša	Venäjä
ruovttuideaset	(mon.)	kotinsa, kotejansa
sadji	paikka
ságadoalli	puheenjohtaja
sáhkavuorru	puheenvuoro
sáivačáhci	, sisävesi,(makeavesi)
sajádat	asema
sakka	kovasti
sallut	syleillä
šat	enää
savu	suvanto
sávvat	toivottaa
seailut	säilyä
šealgut	loistaa, kimmeltää
šibitdállu	karjatalo
siedjut	märkiä
sierra	tässä: erikseen
šiggut	torua, vaientaa, häätää
sihkkarit	varmasti
sihkkut	pyyhkiä
sijdsoppar	(koltankiel.)	kyläkokous
Sirbmá	Sirma
skájihit	kajahtaa
skeaŋka	lahja
šlubbu	sorkkamätä
smávis	pieni
smávit	pienempi
soahti	sota
sohka	suku
solju	risku (rintakoru)
Sovjetlihttu	Neuvostoliitto
spánskkadávda	espanjantauti
spiehkastit	poiketa
stággu	vapa
stáhta vuovdi	valtion metsä
stáhta	valtio
stálpejahki	petovuosi
stálpi	susien (petojen) paljous
stivrenvuohki	ohjaus (hallinta) tapa
studeanta	ylioppilas
stuorábuš	hiukan isompi
stuorra boazodoallu	suurporonhoito
suddaduvvojedje	(pass.) sulautettiin (mon.3.p.)
Suennjel	Suonikylä
suhtadit	kiukutella
suodjalus	suojelu(s)
suohkančoahkkin	kyläkokous
suohtas	hauska, mukava
suonjar	säde
suorpmas	sormus
Tarto ráfi	Tarton rauha
Trifon Beahcánlaš	Trifon Petsamolainen
tropihkálaš	trooppinen
turista	turisti
turistabivddus	turistipyydys
ubmisámegiella	uumajansaame
váddásamos	vaikein
váhá	vähän
váibadit	väsyttää (esim.itsensä)
váldit oasi	ottaa osaa
válljejuvvo	(pass.)	valitaan
várjalit	varjella
várrugasat	varovasti
Veahčir	Vätsäri
veahkil	avulla
veahkkin	apuna
veardde	verran
vearrái	paha, hankala
verdde	kaveri
viehkki	juoksija
vierru	tapa
vihaheapmi	vihkiminen
viidát	laajalti
Vilgesmearra	Vienanmeri
virgi	virka
vovdna	vaunu
vulos	alas
vuoddji	uiva (nouseva)
vuođđudanáššegirji	perustamisasiakirja
vuođđuduvvojedje	perustettiin (mon. 3.p.)
vuođđuduvvui	perustettiin (yks. 3.p.)
vuođgŋit	(houkutus-), vaania, väijyä
vuodjat	uida
vuođul	perusteella
vuogga	viehe
vuohki	tapa
vuoigatvuohta	oikeus
vuolggášedje	lähtisivät
vuollái	alle
vuollásaš	alainen
vuonjal	vuongeli (1. vuoden ikäinen naarasporo)
vuoste-	vasta-
vuosttasin	ensimmäisenä
Vuovdaguoika	Outakoski
