oba	melko
lesba	lesbo
baicca	miellummin
nákca	kyky
dáidda	taide
govvadáidda	kuvataide
báktedáidda	kivitaide
váidda	syyttää
gieldda	kielto
vuođđojurdda	periaate
duovdda	alue
stipeanda	stipendi
oahppostipeanda	opiskelijastipendi
foanda	rahasto
ovddidanfoanda	kehitysrahasto
kulturfoanda	kulttuurirahasto
metoda	metodi
čearda	laji& 
standárda	standardi
miljárda	miljardi
stáda	valtio
dáiddamusea	taidemuseo
paragráfa	pykälä
ulbmilparagráfa	tavoitepykälä
haga	ilman
dađistaga	pikku hiljaa
álgga	aloite
vuosteágga	vasta-argumentit
čielga	selkeä
njuolga	suora
válga	vaali
stuorradiggeválga	suurkäräjävaalit
sámediggeválga	saamelaiskäräjien vaalit
dialoga	vuoropuhelu& dialogi
lága	laki
media	media
šládja	laji
bibliografiija	bibliografia
strategiija	strategia
terminologiija	terminologia
teknologiija	teknologia
energiija	energia
ekonomiija	talous
kopiija	moniste
friija	vapaa
demokratiija	demokratia
doaibmadoarjja	toimeentulotuki
ruhtadoarjja	rahatuki
stáhtadoarjja	valtiontuki
prošeaktadoarjja	projektihakemus
vuođđodoarjja	kariutua
árja	energia
ája	lähde
sierrabibliotehka	erikoiskirjasto
giellaláhka	kielilaki
minerálaláhka	mineraalilaki
báikenammaláhka	paikannimilaki
olmmošvuoigatvuođaláhka	ihmisoikeuslaki
mánáidgárdeláhka	lastentarhalaki
sámeláhka	saamelaislaki
hálddašanláhka	hallintolaki
huksenláhka	rakentamislaki
eanavuovdinláhka	maanmyyntilaki
boazodoalloláhka	poronhoitolaki
vuođđoláhka	perustuslaki
oahpahusláhka	opetuslaki
skuvlaseahkka	koulureppu
replihkka	repliikki
politihkka	politiikka
nuoraidpolitihkka	nuorisopolitiikka
sámepolitihkka	saamelaispolitiikka
dáruiduhttinpolitihkka	norjalaistamispolitiikka
boazodoallopolitihkka	poronhoitopolitiikka
dásseárvopolitihkka	tasa-arvopolitiikka
kulturpolitihkka	kulttuuripolitiikka
ealáhuspolitihkka	elinkeinopolitiikka
guolástuspolitihkka	kalastuspolitiikka
guovllupolitihkka	aluepolitiikka
statistihkka	tilasto
láhkka	lakka
gaskka	kesken
joatkka	jatko
ovdamearka	esimerkki
dovdomearka	tuntomerkki
