oba	melko	Adv	Pcle
lesba	lesbo	N	N
baicca	miellummin	Adv	Adv
nákca	kyky	N	N
dáidda	taide	N	N
govvadáidda	kuvataide	N	N
báktedáidda	kivitaide	N	N
váidda	syyttää	N	V
gieldda	kielto	N	N
vuođđojurdda	periaate	N	N
duovdda	alue	N	N
stipeanda	stipendi	N	N
oahppostipeanda	opiskelijastipendi	N	N
foanda	rahasto	N	N
ovddidanfoanda	kehitysrahasto	N	N
kulturfoanda	kulttuurirahasto	N	N
metoda	metodi	N	N
čearda	laji&	N	N
standárda	standardi	N	N
miljárda	miljardi	Num	Num& N
stáda	valtio	N	N
dáiddamusea	taidemuseo	N	N
paragráfa	pykälä	N	N
ulbmilparagráfa	tavoitepykälä	N	N
haga	ilman	Po	Po
dađistaga	pikku hiljaa	Adv	Adv
álgga	aloite	N	N
vuosteágga	vasta-argumentti	N	N
čielga	selkeä	Adv	A
njuolga	suora	Adv	A
válga	vaali	N	N
stuorradiggeválga	suurkäräjävaalit	N	Npl
sámediggeválga	saamelaiskäräjien vaalit	N	Npl
dialoga	vuoropuhelu& dialogi	N	N
lága	laki	N	N
media	media	N	N
šládja	laji	N	N
bibliografiija	bibliografia	N	N
strategiija	strategia	N	N
terminologiija	terminologia	N	N
teknologiija	teknologia	N	N
energiija	energia	N	N
ekonomiija	talous	N	N
kopiija	moniste	N	N
friija	vapaa	A	A& N
demokratiija	demokratia	N	N
doaibmadoarjja	toimeentulotuki	N	N
ruhtadoarjja	rahatuki	N	N
stáhtadoarjja	valtiontuki	N	N
prošeaktadoarjja	projektihakemus	N	N
vuođđodoarjja	kariutua	N	V
árja	energia	N	N
ája	lähde	N	N
sierrabibliotehka	erikoiskirjasto	N	N
giellaláhka	kielilaki	N	N
minerálaláhka	mineraalilaki	N	N
báikenammaláhka	paikannimilaki	N	N
olmmošvuoigatvuođaláhka	ihmisoikeuslaki	N	N
mánáidgárdeláhka	lastentarhalaki	N	N
sámeláhka	saamelaislaki	N	N
hálddašanláhka	hallintolaki	N	N
huksenláhka	rakentamislaki	N	N
eanavuovdinláhka	maanmyyntilaki	N	N
boazodoalloláhka	poronhoitolaki	N	N
vuođđoláhka	perustuslaki	N	N
oahpahusláhka	opetuslaki	N	N
skuvlaseahkka	koulureppu	N	N
replihkka	repliikki	N	N
politihkka	politiikka	N	N
nuoraidpolitihkka	nuorisopolitiikka	N	N
sámepolitihkka	saamelaispolitiikka	N	N
dáruiduhttinpolitihkka	norjalaistamispolitiikka	N	N
boazodoallopolitihkka	poronhoitopolitiikka	N	N
dásseárvopolitihkka	tasa-arvopolitiikka	N	N
kulturpolitihkka	kulttuuripolitiikka	N	N
ealáhuspolitihkka	elinkeinopolitiikka	N	N
guolástuspolitihkka	kalastuspolitiikka	N	N
guovllupolitihkka	aluepolitiikka	N	N
statistihkka	tilasto	N	N
láhkka	lakka	N	N
gaskka	kesken	Po	Po
joatkka	jatko	N	N
ovdamearka	esimerkki	N	N
dovdomearka	tuntomerkki	N	N
mobiila	kännykkä& matkapuhelin	A	N
homofiila	homofiili	N	N
siviila	siviili	A	A& N
tabealla	taulukko	N	N
modealla	malli	N	N
oarjelsámegiella	länsisaame	N	N
nubbingiella	toinen kieli	N	N
unnitlohkogiella	vähemmistökieli	N	N
rolla	rooli	N	N
areála	pinta-ala	N	N
materiála	materiaali	N	N
potensiála	potentiaali	N	N
sosiála	sosiaalinen	A	A
formála	muodollinen	A	A
signála	signaali	N	N
regionála	alueellinen	A	A
nationála	kansallinen	A	A
našunála	kansallinen	A	A
minerála	mineraali	N	N
digitála	digitaalinen	A	A
kapitála	pääoma	N	N
iežaskapitála	pääoma	N	N
individuála	yksilöllinen	A	A
musihkkafestivála	musiikkifestivaali	N	N
museadoaibma	museotoiminta	N	N
kulturdoaibma	kulttuuritoiminta	N	N
ealáhusdoaibma	elinkeinoelämä	N	N
čuolbma	solmu	N	N
tearbma	termi	N	N
norbma	normi	N	N
tema	teema	N	N
rámma	kehys	N	N
bušeahttarámma	budjettiraami	N	N
prográmma	ohjelma	N	N
oasseprográmma	osaohjelma	N	N
dutkanprográmma	tutkimusohjelma	N	N
suopma	suomalainen	N	A
turisma	turismi	N	N
kveana	kveeni	N	N
rutiidna	rutiini	N	N
regiovdna	alue	N	N
miljovdna	miljoona	Num	Num& N
