fylkkagielddalaš	fylkkagielddalaš	
biibbaloskkolaš	biibbaloskkolaš	
šliettas	slapp	
rájaheapme	rájaheapme	
ráisalaš	ráisalaš	
lágaheapme	lágaheapme	
loikkas	lunken	
lappilaš	lappilaš	
kruvdnosaš	kruvdnosaš	
jiekŋagalmmas	jiekŋagalmmas	
gáiddus	fjerntliggende	
guovttejahkásaš	guovttejahkásaš	
geainnoheapme	geainnoheapme	
galbmavarat	galbmavarat	
streaŋggis	streaŋggis	
solidáralaš	solidáralaš	
skandinávalaš	skandinávalaš	
ruosttas	rusten	
njálbmái	storkjeftet	
njuoras	øm	
materiálalaš	materiálalaš	
juovlaloahpaheapmi	juovlaloahpaheapmi	
guđajahkásaš	guđajahkásaš	
guvllolaš	guvllolaš	
fámoheapme	fámoheapme	
fránskalaš	fránskalaš	
baskalaš	baskalaš	
bahánihkkán	uskikkelig	
badjelgeahččalas	badjelgeahččalas	
čuvgesruoksat	čuvgesruoksat	
árpmuheapme	árpmuheapme	
áigahaš	áigahaš	
áidnalunddot	áidnalunddot	
váiggas	váiggas	
ránto	kresen	
rahpas	rahpas	
psykososiála	psykososiála	
peršuvnnalaš	peršuvnnalaš	
organisatoralaš	organisatoralaš	
oaivveheapme	oaivveheapme	
njealjejahkásaš	njealjejahkásaš	
kula	kul	
guovdil	guovdil	
guovdageaidnolaš	guovdageaidnolaš	
girkuidgaskasaš	girkuidgaskasaš	
gielddaidgaskasaš	gielddaidgaskasaš	
gaskamearalaš	gaskamearalaš	
dávggas	elastisk	
digitálalaš	digitálalaš	
afrihkkálaš	afrihkkálaš	
čáhppes-vielgat	čáhppes-vielgat	
čaffat	čaffat	
varrái	varrái	
ránskalaš	ránskalaš	
polára	polára	
mentálalaš	mentálalaš	
gáregasnjárgalaš	gáregasnjárgalaš	
gámis	gámis	
guovttebeaivásaš	guovttebeaivásaš	
fiberoptihkalaš	fiberoptihkalaš	
etnográfalaš	etnográfalaš	
erohtalaš	erohtalaš	
duolbat	duolbat	
duhtadahtti	duhtadahtti	
divttasvuotnalaš	divttasvuotnalaš	
báris	best	
arábalaš	arábalaš	
šođbat	elegant	
válddálaš	mektig	
universála	universála	
smávitlágan	smávitlágan	
skohttalaš	skohttalaš	
sealgil	sealgil	
romalaš	romalaš	
realistalaš	realistalaš	
ortodoksa	ortodoksa	
optimistalaš	optimistalaš	
máškit	fleksibel	
máŋggageardán	máŋggageardán	
muittoheapme	glømsk	
moralalaš	moralalaš	
impulsiiva	impulsiiva	
idealisttalaš	idealisttalaš	
háváš	háváš	
hillji	langsom	
heakkaváralaš	heakkaváralaš	
golmmačiegat	trekant	
dákkárlágan	dákkárlágan	
doaresfágalaš	tverrfaglig	
Valli	Valli	
šihttui	šihttui	
áššáiguoskevaš	áššáiguoskevaš	
spesiála	spesiála	
seammaárvosaš	seammaárvosaš	
rievttalaš	rievttalaš	
passiivvalaš	passiivvalaš	
návccalaš	sterk	
militearalaš	militearalaš	
mieskkas	morken	
læstadialaš	læstadialaš	
logalaš	logalaš	
iešbuorre	iešbuorre	
guollái	guollái	
geanuheapme	geanuheapme	
gealbboheapme	gealbboheapme	
fylkkasuohkanlaš	fylkkasuohkanlaš	
eahpevirggálaš	eahpevirggálaš	
dásseárvopolitihkalaš	dásseárvopolitihkalaš	
dulvvis	dulvvis	
báljis	bar	
boazodoallofágalaš	boazodoallofágalaš	
skuvlaahkásaš	skuvlaahkásaš	
oiddolaš	gunstig	
nautalaš	nautalaš	
moskilaš	moskilaš	
lotkat	lotkat	
loses	loses	
lojála	lojála	
loahppameahttun	loahppameahttun	
kurdalaš	kurdalaš	
industriála	industriála	
indo-fijilaš	indo-fijilaš	
historjálaš	historjálaš	
golgu	golgu	
fágaidgaskasaš	fágaidgaskasaš	
eretcealkkehahtti	eretcealkkehahtti	
eanebuš	eanebuš	
ealaskas	ealaskas	
eahpideaddji	eahpideaddji	
eahpeformála	eahpeformála	
dánjagáš	dánjagáš	
coola	coola	
báikkalaš	báikkalaš	
boagustahtti	boagustahtti	
asiáhtalaš	asiáhtalaš	
analyhtalaš	analyhtalaš	
ainolaš	ainolaš	
afrihkálaš	afrihkálaš	
árbmugas	nådig	
ábuheapme	unyttig	
seksuálaš	seksuálaš	
rávvejeaddji	rávvejeaddji	
ruoŧagielat	ruoŧagielat	
ruivvas	tilsølet	
roavas	roavas	
riikkaidgaskkasaš	riikkaidgaskkasaš	
psykohtalaš	psykohtalaš	
oskkáldasmeahttun	oskkáldasmeahttun	
oarjemáilmmálaš	oarjemáilmmálaš	
nenetsalaš	nenetsalaš	
muoŧŧái	muoŧŧái	
latenamerihkálaš	latenamerihkálaš	
ironiijalaš	ironiijalaš	
interaktiiva	interaktiiva	
inhabila	inhabila	
gudneáŋgir	gudneáŋgir	
goiddas	tynn	
gastronomalaš	gastronomalaš	
ekologálaš	ekologálaš	
ealáhuspolitihkalaš	ealáhuspolitihkalaš	
diehtomielalaš	diehtomielalaš	
birasváralaš	birasváralaš	
alladássásaš	alladássásaš	
aktonas	aktonas	
čáhcejeahkki	čáhcejeahkki	
čuorgat	grå	
šlundi	motløs	
árvitmeahttun	árvitmeahttun	
áitatvuloš	áitatvuloš	
vuojaheapme	vuojaheapme	
veadjetmeahttun	veadjetmeahttun	
vašán	vašán	
utnolaš	utnolaš	
suruheapme	ugudelig	
starggas	stiv	
soddjil	bøyelig	
sirkumpolára	sirkumpolára	
nuortariikalaš	nuortariikalaš	
máŋggasuorggat	máŋggasuorggat	
máhtolaš	máhtolaš	
moalas	moalas	
konsekveanta	konsekveanta	
komilaš	komilaš	
iešstivrejeaddji	iešstivrejeaddji	
guovlluguovdasaš	guovlluguovdasaš	
guhkemátkkálaš	guhkemátkkálaš	
golmmajahkásaš	golmmajahkásaš	
goargat	goargat	
girkonjárgalaš	girkonjárgalaš	
gillil	utrettelig	
geardásaš	avleiret	
buorremielalaš	buorremielalaš	
birasustitlaš	birasustitlaš	
antropologalaš	antropologalaš	
afrihkalaš	afrihkalaš	
Ránska	Ránska	
čigŋái	čigŋái	
čalmmus	čalmmus	
álgovuolggalaš	álgovuolggalaš	
váivváš	váivváš	
váibi	váibi	
virtuála	virtuála	
urologalaš	urologalaš	
sámemállet	sámemállet	
syntehtalaš	syntehtalaš	
stiivvis	stiivvis	
rájeheapme	rájeheapme	
reálistalaš	reálistalaš	
regiunála	regiunála	
oasseáigásaš	oasseáigásaš	
nuppelotjahkásaš	nuppelotjahkásaš	
norrøna	norrøna	
nissonlaš	nissonlaš	
mánálaš	barnslig	
mentála	mentála	
majestehtalaš	majestehtalaš	
lokála	lokála	
klimáhtalaš	klimáhtalaš	
kievra	kievra	
jievjjas	lys	
intensiiva	intensiv	
háhppil	kjapp	
guotteheaddji	guotteheaddji	
golmmabeaivásaš	golmmabeaivásaš	
gaskaáigásaš	gaskaáigásaš	
fiktiiva	fiktiiva	
fearalágan	fearalágan	
fanasgieddilaš	fanasgieddilaš	
egyptalaš	egyptalaš	
ealit	ealit	
eahpeoskkolaš	eahpeoskkolaš	
dárbbalaš	dárbbalaš	
buresbirgejeaddji	buresbirgejeaddji	
buolvvat	buolvvat	
baháneahkkán	baháneahkkán	
allajoccat	allajoccat	
čáppagirjjálaš	čáppagirjjálaš	
čakčaseavdnjat	høstmørk	
vuohččulaš	vuohččulaš	
unnitgielat	unnitgielat	
tromsalaš	tromsalaš	
stađuheapme	rastløs	
persovnnálaš	persovnnálaš	
ovttabeallásaš	ovttabeallásaš	
oktilaš	oktilaš	
offensiiva	offensiiva	
objektiiva	objektiiva	
máttasámegielat	máttasámegielat	
lullisámegielat	lullisámegielat	
lieggavarat	lieggavarat	
jieris	jieris	
jeavddalaš	jeavddalaš	
jallaslágan	jallaslágan	
individuálalaš	individuálalaš	
ideologalaš	ideologalaš	
hudju	hudju	
hilján	hilján	
helssetlaš	helssetlaš	
harmonalaš	harmonalaš	
guđegelágan	guđegelágan	
