lihkkolohku	lykketall	onnenluku
jienastuslohku	manntall	äänestysluku
johtolat	flyttevei	liikenne
hárjehallan	trening	harjoitus
ovdagoddi	formannskap	
leansmánnekantuvra	lensmannskontor	nimesmiestoimisto
ohcanáigemearri	søknadsfrist	hakuaika
lohka	lohka	
juoigan	joiking	joikaaminen
buvttadeaddji	buvttadeaddji	
boahtu	boahtu	
dálveorohat	vinterboplass	
Márkomeannu	Márkomeannu	
háldu	besittelse	
Ávju	Ávju	
Olmmáivággi	Manndalen	
bodda	stund	tuokio
bievlavuodjin	barmarkskjøring	
Báktehárji	Báktehárji	
biebmobearráigeahčču	næringsmiddelkontroll	
bearráigeahčču	oppsyn	
suohkanbáhppa	sokneprest	
Ohcan	Ohcan	
juogalágan	juogalágan	
Skiippagurra	Skiippagurra	
dokumentára	dokumentar	
birgejupmi	livsfornødenhet	
sárdnestuollu	talerstol	
viergi	skinnkant	
searvegodderáđđi	menighetsråd	
sámecup	samecup	
guoddu	holdning	
čájáhusgovva	čájáhusgovva	
Johkamohkki	Johkamohkki	
fievru	framkomstmiddel	
bázahus	rest	jäänne
jahkebealle	halvår	puolivuosi
gárvi	gárvi	
ohcanskovvi	søknadsskjema	hakulomake
heargegilvu	reinkappløp	
čehppodat	dyktighet	
moaitimuš	moaitimuš	
moaitámuš	bebreidelse	
stuorradiggeáirras	stortingsrepresentant	kansanedustaja
opposišuvdna	motsetning	oppositio
kulturmuitu	kulturminne	
gaskkamuddu	gaskkamuddu	puoliväli
guohtoneana	beiteland	
Fálesnuorri	Fálesnuorri	
mohtorfievru	motorvogn	moottoriajoneuvo
olgobáiki	uteplass	ulkopaikka
ráđđádallan	overlegning	neuvottelu
guohtuneana	beiteland	
beaivvis	beaivvis	
bárti	uhell	onnettomuus
johtti	johtti	
Láhpoluoppal	Láhpoluoppal	
dovdda	sans	tunne
Ávjovárri	Ávjovárri	
čuojaheaddji	čuojaheaddji	muusikko
čuojaheaddji	čuojaheaddji	soittaja
diehtosiida	diehtosiida	
bajásšaddan	oppvekst	
čearru	vegetasjonsfattig_høyfjellsstrekning	
Gielda	Kildin	
direktoráhtta	direktorat	
Birasgáhttendepartemeanta	Birasgáhttendepartemeanta	
riikkastivra	landsstyre	
Álgu	Álgu	
jeara	jeara	
Goahtegearret	Goahtegearret	
jury	jury	valamiehistö
boazodoalloagronoma	reindriftsagronom	
vuordát	vuordát	
ruvkefitnodat	gruveselskap	
gullát	begynne_å_høre	
stivrračoahkkin	styremøte	johtokunnan kokous
CD-skearru	CD-skearru	
Eanandoallodepartemeanta	Eanandoallodepartemeanta	
veahkaválddálašvuohta	overgrep	
doarjjastivra	tilskuddsstyre	
báhpasuohkan	prestesokn	
boalvvir	finsk_handelsmann	
rukto	rute	
ovddasvástideaddji	ovddasvástideaddji	
oaggun	oaggun	
vuosti	vuosti	
sisabahkken	inntrenging	
presideantaevttohas	presidentkandidat	presidenttiehdokas
Loabát	Lavangen	
njealjejuvllat	firehjulssykkel	
orru	orru	
šovva	show	
čoakkáldat	samling	
čuovganeapmi	lysning	
ráhkadeapmi	ráhkadeapmi	
lotnolasealáhus	næringskombinasjon	elinkeinoyhdistelmä
birasgáhttenossodat	miljøvernenhet	ympäristösuojeluyksikkö
Jiellevárri	Gällivare	
Forum	Forum	
goadjin	voksen_hannlaks	
Sállan	Sørøya	
bidjan	bidjan	
hálddašeaddji	hálddašeaddji	
stivrejupmi	styreform	johtomuoto
skábmagovva	skábmagovva	
endor	område_langt_unna	
boazopolitiija	reinpoliti	poropoliisi
Ája	Ája	
ráidočiekčan	seriefotball	jalkapallon sarjapeli
giđđalodden	andejakt	sorsametsästys
valáštalli	valáštalli	valmentaja
gaskaoapmi	middel	
virgelohpi	permisjon	virkaloma
jumežat	jumežat	
goahtebeallji	goahtebeallji	
rahčamuš	strev	
cuiggodeapmi	tilsnakk	
oasáš	liten_del	osanen
Bihttá	Bihttá	
Ofelaš	Ofelaš	
Árran	Árran	
olggosgollu	utgift	kulu
Fanasgieddi	Fanasgieddi	
suhttu	sinne	suuttumus
movttiidahtti	movttiidahtti	
fylkkaráđđi	fylkesråd	
Buletjávri	Buletjávri	
luossagonagas	laksekonge	lohikuningas
dálkkodeapmi	behandling	käsittely
Sámemiššuvdna	Sámemiššuvdna	
fokus	fokus	fokus
Fállejohka	Fállejohka	
giellaruhta	språkpenger	kieliraha
politiijabálvá	politibetjent	
Ávži	Ávži	
našunálateáhter	našunálateáhter	kansallisteatteri
Várdobáiki	Várdobáiki	
mobiilatelefovdna	mobiilatelefovdna	kännykkä
lágamánneriekti	lagmannsrett	
eahpesihkarvuohta	usikkerhet	epävarmuus
agronoma	agronom	agronomi
áššemeannudeaddji	áššemeannudeaddji	
preassadoarjja	pressetøtte	lehdistötuki
ealáhussearvi	næringsforening	elinkeinoseura
vuostálasti	vuostálasti	
ruhtajuolludeapmi	pengebevilgning	
Álbmotbellodat	Álbmotbellodat	
virgáibidjan	ansettelse	
guovttegiella	guovttegiella	toinen kieli
Juovlavuotna	Austertana	
sámemiššuvdna	samemisjon	
teknihkka	teknikk	tekniikka
Áitesavu	Áitesavu	
maŋŋi	maŋŋi	
johttisápmi	flyttsame	
nuppástuhttinprográmma	omstillingsprogram	
našuvdna	nasjon	kansakunta
sirkus	sirkus	sirkus
Bissojohka	Børselv	Pyssyjoki
amerihkálaš	amerihkálaš	amerikkalainen
Team	Team	
balddihahtti	skremmende	
riedja	skrål	
dadjamuš	noe_å_si	
Lákkonjárga	Lákkonjárga	
viessosadji	hustomt	
máđidja	vei	
miellahttuvuohta	medlemsskap	jäsenyys
